SupplierID,SupplierName,Country,Rating,ContractType
S0469,Schaefer-Horton,Niue,4.5,Strategic
S0470,Reyes Group,Austria,3.0,Standard
S0471,"Rodriguez, Savage and Sexton",Equatorial Guinea,3.3,Strategic
S0472,"Harmon, Torres and Smith",Guadeloupe,3.7,Premium
S0473,Lawrence-Buchanan,Trinidad and Tobago,4.1,Premium
S0474,Clark Inc,Greenland,5.0,Premium
S0475,Powers Ltd,Bahrain,3.9,Premium
S0476,Norman LLC,Ireland,4.9,Premium
S0477,"Peterson, Johnson and Schneider",Portugal,4.6,Standard
S0478,Campos PLC,San Marino,4.8,Standard
S0479,"Davidson, Turner and Gray",Vanuatu,3.3,Strategic
S0480,"Dudley, Cochran and Hodge",Wallis and Futuna,4.0,Premium
S0481,Russell and Sons,New Caledonia,4.6,Strategic
S0482,Williamson Ltd,Czech Republic,4.1,Premium
S0483,Marquez Group,Cote d'Ivoire,3.7,Strategic
S0484,"Hernandez, Mayo and Manning",Turkmenistan,3.7,Premium
S0485,Smith-Bush,Gambia,3.9,Premium
S0486,Jimenez-Leonard,Antarctica (the territory South of 60 deg S),4.1,Standard
S0487,Kim-Peterson,Spain,3.1,Premium
S0488,"Burns, Crosby and Rodriguez",Oman,4.4,Strategic
S0489,Cochran-Bates,Japan,3.3,Standard
S0490,Wilkinson Inc,Northern Mariana Islands,3.4,Premium
S0491,Wilson-Walker,New Caledonia,4.9,Strategic
S0492,"Schneider, Mcpherson and Mcintosh",Jordan,3.1,Standard
S0493,Mueller-Brown,Nepal,5.0,Strategic
S0494,"Palmer, Martin and Carter",Australia,3.5,Standard
S0495,Robinson Ltd,Bahamas,3.4,Standard
S0496,Dennis-Phelps,Bahrain,4.3,Strategic
S0497,Smith PLC,Guadeloupe,4.3,Standard
S0498,Glover-Carr,Monaco,4.6,Standard
S0499,Harrison LLC,French Polynesia,4.3,Standard
S0500,"Pierce, King and Hall",Cote d'Ivoire,4.0,Premium
