OrderID,CampaignID,AttributionModel,ConversionDays,CampaignChannel
O00019533,M0610,Last Click,28,Affiliate
O00019534,M0036,First Click,16,Email
O00019535,M0981,Last Click,4,Email
O00019536,M0301,Linear,24,Affiliate
O00019538,M0232,First Click,10,Social
O00019539,M0193,First Click,0,Email
O00019540,M0630,Time Decay,10,Social
O00019542,M0488,Last Click,27,Affiliate
O00019545,M0310,Linear,5,Search
O00019546,M0866,First Click,25,Affiliate
O00019547,M0021,Last Click,27,Social
O00019549,M0631,Time Decay,15,Search
O00019550,M0940,Last Click,23,Affiliate
O00019551,M0467,First Click,25,Affiliate
O00019552,M0709,Linear,0,Search
O00019553,M0092,Time Decay,20,Social
O00019554,M0564,Time Decay,18,Affiliate
O00019555,M0670,Last Click,18,Search
O00019557,M0857,Last Click,10,Social
O00019558,M0877,Time Decay,28,Affiliate
O00019559,M0381,Time Decay,1,Search
O00019560,M0728,Time Decay,9,Search
O00019563,M0492,Linear,0,Affiliate
O00019565,M0159,Last Click,28,Search
O00019566,M0385,Time Decay,25,Affiliate
O00019567,M0949,First Click,17,Social
O00019568,M0326,First Click,3,Email
O00019571,M0048,Linear,13,Email
O00019572,M0147,Linear,19,Affiliate
O00019574,M0740,Time Decay,5,Email
O00019576,M0591,Time Decay,6,Social
O00019577,M0580,Linear,30,Social
O00019578,M0040,Last Click,6,Email
O00019579,M0962,Last Click,18,Social
O00019580,M0088,Last Click,10,Affiliate
O00019581,M0315,Linear,21,Social
O00019583,M0927,Linear,2,Affiliate
O00019584,M0353,Linear,6,Search
O00019585,M0495,Time Decay,12,Email
O00019586,M0571,First Click,4,Search
O00019589,M0722,Last Click,20,Search
O00019590,M0681,Time Decay,1,Search
O00019593,M0560,Last Click,15,Email
O00019595,M0820,Linear,5,Search
O00019597,M0684,First Click,14,Search
O00019598,M0148,First Click,14,Search
O00019599,M0389,Last Click,2,Search
O00019600,M0478,Last Click,16,Search
O00019602,M0657,Last Click,6,Search
O00019603,M0736,Time Decay,22,Affiliate
O00019604,M0097,Time Decay,23,Search
O00019605,M0079,Time Decay,3,Email
O00019606,M0673,Linear,14,Search
O00019607,M0890,First Click,0,Search
O00019608,M0118,Linear,14,Search
O00019609,M0189,First Click,23,Social
O00019610,M0876,Last Click,8,Affiliate
O00019612,M0753,Linear,25,Email
O00019615,M0081,First Click,2,Email
O00019616,M0036,Time Decay,16,Email
O00019617,M0054,First Click,12,Email
O00019618,M0108,Time Decay,20,Email
O00019620,M0125,Linear,7,Email
O00019621,M0202,Last Click,3,Affiliate
O00019622,M0851,Linear,15,Email
O00019623,M0345,Last Click,12,Social
O00019624,M0879,Time Decay,0,Search
O00019625,M0471,Last Click,28,Search
O00019626,M0909,Linear,28,Affiliate
O00019627,M0285,Last Click,24,Email
O00019629,M0881,Linear,30,Social
O00019630,M0754,First Click,17,Email
O00019631,M0884,First Click,13,Email
O00019632,M0041,First Click,8,Email
O00019633,M0383,Last Click,29,Search
O00019635,M0274,First Click,24,Affiliate
O00019638,M0153,First Click,22,Search
O00019639,M0776,Last Click,6,Social
O00019640,M0386,First Click,24,Search
O00019641,M0563,First Click,16,Email
O00019643,M0862,Linear,0,Email
O00019644,M0206,Last Click,24,Affiliate
O00019646,M0276,First Click,8,Social
O00019647,M0490,Last Click,12,Search
O00019648,M0349,Time Decay,8,Affiliate
O00019649,M0793,Time Decay,6,Affiliate
O00019650,M0054,Time Decay,17,Email
O00019652,M0979,First Click,29,Email
O00019654,M0238,First Click,20,Email
O00019655,M0856,Last Click,17,Affiliate
O00019656,M0709,Linear,28,Search
O00019657,M0542,First Click,11,Email
O00019658,M0737,First Click,1,Email
O00019660,M0101,Time Decay,15,Search
O00019661,M0563,Last Click,20,Email
O00019662,M0746,Linear,2,Affiliate
O00019664,M0547,Time Decay,12,Affiliate
O00019665,M0378,Time Decay,9,Social
O00019666,M0772,Last Click,15,Affiliate
O00019667,M0356,Linear,16,Social
O00019668,M0742,Last Click,10,Affiliate
O00019669,M0903,First Click,18,Social
O00019670,M0494,Time Decay,17,Email
O00019671,M0969,First Click,14,Search
O00019672,M0920,First Click,19,Affiliate
O00019673,M0276,Linear,28,Social
O00019674,M0870,First Click,30,Email
O00019676,M0645,First Click,30,Search
O00019678,M0030,Time Decay,20,Search
O00019680,M0964,Time Decay,18,Affiliate
O00019681,M0200,Linear,7,Email
O00019683,M0416,First Click,7,Social
O00019686,M0530,First Click,20,Email
O00019687,M0310,Time Decay,3,Search
O00019689,M0237,Time Decay,25,Email
O00019693,M0302,Last Click,26,Affiliate
O00019694,M0586,Time Decay,17,Search
O00019695,M0759,Linear,12,Affiliate
O00019696,M0996,Last Click,8,Email
O00019697,M0831,Last Click,27,Social
O00019698,M0782,Last Click,8,Search
O00019699,M0263,Last Click,28,Social
O00019701,M0533,First Click,24,Social
O00019702,M0493,Linear,17,Search
O00019703,M0353,Linear,12,Search
O00019704,M0195,Time Decay,17,Email
O00019705,M0293,Time Decay,22,Email
O00019706,M0140,First Click,25,Search
O00019709,M0761,Time Decay,0,Social
O00019710,M0944,First Click,19,Email
O00019712,M0634,Last Click,22,Email
O00019713,M0864,Last Click,13,Search
O00019714,M0660,Time Decay,9,Social
O00019715,M0881,Time Decay,18,Social
O00019716,M0781,First Click,30,Social
O00019718,M0991,First Click,21,Email
O00019719,M0346,Linear,13,Social
O00019722,M0610,Linear,7,Affiliate
O00019723,M0268,Time Decay,15,Social
O00019724,M0826,Linear,18,Social
O00019725,M0637,Linear,30,Affiliate
O00019726,M0972,First Click,13,Social
O00019727,M0573,First Click,14,Email
O00019728,M0029,First Click,6,Affiliate
O00019731,M0114,Linear,4,Affiliate
O00019732,M0736,Linear,0,Affiliate
O00019733,M0386,Time Decay,15,Search
O00019734,M0517,First Click,3,Affiliate
O00019737,M0994,Linear,25,Email
O00019739,M0403,Last Click,29,Search
O00019740,M0706,Last Click,23,Social
O00019741,M0822,First Click,14,Email
O00019743,M0833,First Click,18,Search
O00019744,M0982,First Click,26,Social
O00019748,M0930,First Click,15,Social
O00019749,M0291,First Click,13,Affiliate
O00019750,M0507,Last Click,16,Social
O00019752,M0164,Last Click,0,Search
O00019753,M0986,Last Click,19,Email
O00019755,M0028,Last Click,27,Search
O00019756,M0246,First Click,19,Search
O00019758,M0746,First Click,4,Affiliate
O00019759,M0693,Last Click,5,Affiliate
O00019760,M0979,Linear,18,Email
O00019761,M0723,Linear,28,Search
O00019762,M0129,Time Decay,11,Social
O00019763,M0880,Linear,10,Email
O00019764,M0259,Time Decay,6,Email
O00019765,M0596,Last Click,0,Social
O00019766,M0845,Time Decay,21,Search
O00019768,M0873,Linear,12,Social
O00019769,M0244,Linear,10,Social
O00019770,M0619,Linear,3,Social
O00019771,M0941,Time Decay,0,Social
O00019776,M0742,Last Click,21,Affiliate
O00019777,M0298,Last Click,14,Social
O00019778,M0284,Last Click,25,Social
O00019779,M0960,Linear,9,Affiliate
O00019780,M0889,Time Decay,19,Social
O00019781,M0939,Last Click,16,Email
O00019782,M0977,First Click,7,Email
O00019788,M0281,Linear,27,Email
O00019790,M0092,Last Click,12,Social
O00019791,M0051,Linear,24,Search
O00019793,M0750,Linear,6,Social
O00019794,M0057,First Click,26,Search
O00019795,M0841,Time Decay,18,Search
O00019796,M0990,Last Click,17,Search
O00019797,M0019,Last Click,16,Search
O00019798,M0540,Linear,16,Search
O00019799,M0141,Linear,3,Social
O00019800,M0456,Last Click,6,Social
O00019801,M0369,First Click,30,Social
O00019802,M0893,Time Decay,8,Email
O00019803,M0930,First Click,25,Social
O00019805,M0186,First Click,27,Affiliate
O00019806,M0326,Last Click,27,Email
O00019807,M0303,First Click,28,Email
O00019808,M0658,Linear,9,Email
O00019809,M0564,Last Click,21,Affiliate
O00019810,M0724,First Click,8,Email
O00019812,M0017,Linear,26,Affiliate
O00019813,M0771,Last Click,29,Email
O00019814,M0367,First Click,10,Affiliate
O00019815,M0460,Time Decay,4,Search
O00019817,M0260,First Click,30,Affiliate
O00019818,M0859,Time Decay,27,Social
O00019819,M0661,First Click,14,Affiliate
O00019820,M0878,Linear,3,Email
O00019822,M0050,Last Click,7,Social
O00019823,M0817,Time Decay,15,Social
O00019826,M0611,First Click,23,Social
O00019827,M0043,First Click,8,Affiliate
O00019829,M0432,First Click,14,Email
O00019830,M0941,Time Decay,15,Social
O00019831,M0296,Time Decay,18,Email
O00019834,M0158,Linear,10,Social
O00019835,M0975,Last Click,29,Affiliate
O00019836,M0368,Linear,28,Social
O00019837,M0334,First Click,12,Email
O00019839,M0782,Linear,30,Search
O00019840,M0557,Time Decay,12,Social
O00019841,M0062,Time Decay,26,Social
O00019842,M0742,Time Decay,19,Affiliate
O00019844,M0583,Time Decay,16,Social
O00019845,M0989,Last Click,30,Social
O00019846,M0338,First Click,10,Search
O00019847,M0547,Linear,19,Affiliate
O00019848,M0937,Linear,25,Social
O00019849,M0254,Time Decay,8,Email
O00019850,M0068,Last Click,14,Email
O00019851,M0433,Linear,8,Affiliate
O00019852,M0618,First Click,15,Email
O00019853,M0444,Last Click,1,Email
O00019854,M0781,Linear,14,Social
O00019856,M0085,Time Decay,8,Social
O00019858,M0393,Last Click,27,Affiliate
O00019859,M0215,Last Click,29,Email
O00019860,M0311,Last Click,7,Affiliate
O00019861,M0063,First Click,17,Email
O00019863,M0118,Linear,13,Search
O00019864,M0330,Last Click,21,Social
O00019866,M0015,Linear,17,Affiliate
O00019867,M0476,Time Decay,0,Email
O00019869,M0190,Last Click,3,Affiliate
O00019870,M0300,First Click,26,Search
O00019872,M0916,Linear,12,Email
O00019874,M0018,Time Decay,22,Affiliate
O00019879,M0026,Time Decay,24,Search
O00019880,M0460,Time Decay,5,Search
O00019881,M0663,Time Decay,23,Search
O00019883,M0188,Last Click,12,Search
O00019887,M0433,Last Click,7,Affiliate
O00019888,M0719,First Click,4,Search
O00019890,M0936,Linear,21,Affiliate
O00019892,M0583,Linear,0,Social
O00019893,M0522,Time Decay,12,Affiliate
O00019894,M0939,Linear,18,Email
O00019895,M0369,Last Click,24,Social
O00019896,M0270,Time Decay,9,Email
O00019897,M0709,First Click,26,Search
O00019898,M0166,Linear,9,Affiliate
O00019899,M0872,Last Click,20,Email
O00019900,M0111,First Click,1,Email
O00019902,M0793,Last Click,22,Affiliate
O00019903,M0686,First Click,28,Search
O00019904,M0893,First Click,17,Email
O00019905,M0581,Last Click,25,Email
O00019906,M0772,First Click,26,Affiliate
O00019907,M0060,First Click,27,Affiliate
O00019908,M0337,Last Click,9,Email
O00019909,M0916,Time Decay,16,Email
O00019910,M0013,Time Decay,19,Search
O00019911,M0835,Last Click,19,Search
O00019912,M0195,First Click,6,Email
O00019913,M0537,Linear,4,Affiliate
O00019915,M0254,Linear,28,Email
O00019918,M0142,Linear,16,Search
O00019919,M0710,First Click,14,Email
O00019920,M0566,Time Decay,27,Affiliate
O00019921,M0160,First Click,15,Email
O00019922,M0725,First Click,25,Affiliate
O00019923,M0855,First Click,26,Social
O00019924,M0446,Linear,28,Affiliate
O00019925,M0338,Last Click,17,Search
O00019926,M0215,Linear,14,Email
O00019927,M0522,Time Decay,2,Affiliate
O00019928,M0367,First Click,28,Affiliate
O00019929,M0350,Linear,1,Social
O00019931,M0060,Last Click,6,Affiliate
O00019932,M0542,Linear,2,Email
O00019933,M0392,Time Decay,28,Email
O00019934,M0058,First Click,20,Social
O00019935,M0087,First Click,6,Affiliate
O00019936,M0375,Time Decay,11,Search
O00019937,M0633,Linear,9,Affiliate
O00019938,M0092,Last Click,4,Social
O00019941,M0812,Linear,23,Affiliate
O00019943,M0723,First Click,13,Search
O00019944,M0248,Last Click,2,Email
O00019948,M0573,Last Click,28,Email
O00019949,M0634,First Click,26,Email
O00019950,M0977,First Click,10,Email
O00019952,M0812,First Click,10,Affiliate
O00019953,M0542,Time Decay,4,Email
O00019955,M0475,Time Decay,25,Email
O00019957,M0917,Last Click,26,Email
O00019961,M0661,Time Decay,25,Affiliate
O00019962,M0278,Last Click,7,Search
O00019964,M0033,Last Click,14,Search
O00019965,M0179,Last Click,16,Social
O00019967,M0537,Linear,22,Affiliate
O00019970,M0496,Linear,1,Email
O00019972,M0095,Linear,24,Email
O00019973,M0138,Linear,2,Social
O00019974,M0513,Time Decay,19,Affiliate
O00019975,M0106,Time Decay,3,Search
O00019976,M0085,Linear,24,Social
O00019977,M0437,First Click,20,Email
O00019978,M0781,Linear,7,Social
O00019980,M0547,Linear,17,Affiliate
O00019981,M0339,Linear,7,Search
O00019983,M0732,Linear,8,Social
O00019986,M0733,Linear,8,Affiliate
O00019987,M0934,Last Click,18,Search
O00019991,M0507,Linear,29,Social
O00019994,M0021,First Click,0,Social
O00019996,M0454,First Click,18,Email
O00019997,M0592,Last Click,7,Affiliate
O00019999,M0003,First Click,30,Social
O00020000,M0417,First Click,28,Affiliate
O00020001,M0054,Last Click,28,Email
O00020002,M0155,Linear,24,Email
O00020003,M0080,Linear,30,Search
O00020008,M0542,Time Decay,11,Email
O00020009,M0645,Linear,23,Search
O00020011,M0312,First Click,26,Search
O00020013,M0969,First Click,19,Search
O00020014,M0755,Linear,6,Social
O00020015,M0269,Linear,2,Search
O00020017,M0548,Linear,24,Search
O00020018,M0063,Time Decay,16,Email
O00020021,M0583,Last Click,21,Social
O00020023,M0629,First Click,23,Social
O00020025,M0913,Time Decay,16,Email
O00020026,M0269,Last Click,17,Search
O00020027,M0638,Time Decay,26,Affiliate
O00020028,M0198,Linear,12,Email
O00020030,M0351,Last Click,26,Search
O00020031,M0379,Linear,10,Social
O00020033,M0742,Linear,21,Affiliate
O00020035,M0974,Last Click,28,Email
O00020036,M0940,First Click,14,Affiliate
O00020037,M0962,Time Decay,11,Social
O00020038,M0874,Linear,1,Affiliate
O00020040,M0386,Last Click,21,Search
O00020041,M0045,Time Decay,10,Search
O00020043,M0894,First Click,1,Search
O00020044,M0700,Last Click,28,Email
O00020045,M0070,Linear,6,Social
O00020046,M0311,Time Decay,26,Affiliate
O00020047,M0295,Linear,15,Affiliate
O00020049,M0896,First Click,1,Affiliate
O00020050,M0999,Linear,26,Affiliate
O00020052,M0628,Time Decay,7,Social
O00020053,M0773,Time Decay,2,Email
O00020055,M0040,Last Click,3,Email
O00020056,M0700,Last Click,24,Email
O00020057,M0419,Time Decay,15,Affiliate
O00020059,M0064,Last Click,23,Affiliate
O00020060,M0321,Linear,29,Search
O00020061,M0965,Time Decay,2,Search
O00020064,M0311,Time Decay,8,Affiliate
O00020065,M0678,Last Click,15,Affiliate
O00020066,M0047,First Click,11,Social
O00020067,M0625,Linear,13,Social
O00020068,M0080,Last Click,17,Search
O00020069,M0297,First Click,0,Email
O00020070,M0854,Last Click,23,Affiliate
O00020071,M0606,First Click,5,Social
O00020072,M0034,First Click,18,Search
O00020074,M0051,Time Decay,9,Search
O00020075,M0579,Time Decay,28,Affiliate
O00020076,M0796,Linear,6,Email
O00020078,M0377,Last Click,25,Search
O00020079,M0404,First Click,3,Social
O00020080,M0556,First Click,6,Search
O00020081,M0119,Linear,12,Email
O00020083,M0017,Linear,15,Affiliate
O00020084,M0090,Time Decay,1,Search
O00020086,M0502,Time Decay,30,Email
O00020087,M0811,Time Decay,29,Affiliate
O00020088,M0016,First Click,2,Affiliate
O00020089,M0821,Last Click,1,Search
O00020090,M0578,First Click,25,Affiliate
O00020091,M0363,Linear,15,Social
O00020092,M0359,Last Click,23,Affiliate
O00020093,M0918,Last Click,14,Email
O00020094,M0840,Linear,24,Social
O00020095,M0412,Time Decay,20,Social
O00020097,M0999,Linear,17,Affiliate
O00020098,M0528,Time Decay,24,Search
O00020099,M0533,Last Click,28,Social
O00020100,M0848,First Click,12,Email
O00020101,M0379,Linear,20,Social
O00020102,M0459,Linear,24,Affiliate
O00020103,M0813,Last Click,26,Email
O00020107,M0431,First Click,23,Search
O00020109,M0851,Linear,17,Email
O00020110,M0071,Time Decay,10,Social
O00020111,M0022,Last Click,17,Social
O00020112,M0343,Linear,26,Search
O00020113,M0407,Linear,28,Social
O00020114,M0482,Linear,19,Email
O00020116,M0828,Time Decay,27,Email
O00020117,M0730,Last Click,4,Social
O00020118,M0826,Time Decay,11,Social
O00020119,M0522,Time Decay,11,Affiliate
O00020120,M0229,Time Decay,25,Social
O00020121,M0858,Last Click,30,Social
O00020122,M0682,First Click,10,Affiliate
O00020123,M0716,Time Decay,27,Email
O00020126,M0922,Last Click,6,Affiliate
O00020128,M0467,First Click,2,Affiliate
O00020129,M0004,First Click,12,Affiliate
O00020131,M0081,Last Click,17,Email
O00020133,M0557,Linear,17,Social
O00020136,M0770,Last Click,17,Email
O00020138,M0817,Time Decay,28,Social
O00020139,M0008,Last Click,5,Email
O00020141,M0824,Linear,9,Social
O00020142,M0476,First Click,1,Email
O00020143,M0536,Linear,21,Email
O00020145,M0528,Time Decay,4,Search
O00020146,M0431,First Click,14,Search
O00020147,M0153,Time Decay,16,Search
O00020148,M0186,Last Click,30,Affiliate
O00020150,M0180,Time Decay,13,Social
O00020154,M0921,Linear,4,Email
O00020156,M0850,Time Decay,3,Social
O00020157,M0123,Time Decay,24,Affiliate
O00020158,M0397,Time Decay,17,Search
O00020159,M0144,Time Decay,8,Affiliate
O00020160,M0509,Linear,3,Search
O00020161,M0673,First Click,11,Search
O00020164,M0018,Linear,6,Affiliate
O00020165,M0149,Linear,5,Search
O00020166,M0918,Linear,14,Email
O00020167,M0110,Time Decay,17,Email
O00020168,M0207,Time Decay,22,Search
O00020169,M0955,First Click,21,Search
O00020171,M0621,Time Decay,20,Email
O00020173,M0510,First Click,21,Search
O00020174,M0743,Time Decay,23,Social
O00020176,M0256,Last Click,28,Affiliate
O00020177,M0246,Last Click,21,Search
O00020178,M0151,Last Click,11,Affiliate
O00020179,M0461,Last Click,19,Affiliate
O00020180,M0141,Time Decay,23,Social
O00020181,M0158,First Click,4,Social
O00020182,M0982,Linear,15,Social
O00020184,M0478,Time Decay,2,Search
O00020185,M0634,Linear,20,Email
O00020187,M0800,Linear,21,Email
O00020188,M0248,First Click,7,Email
O00020190,M0899,Linear,2,Email
O00020191,M0484,Last Click,13,Search
O00020192,M0348,Last Click,10,Affiliate
O00020193,M0405,Time Decay,12,Email
O00020194,M0788,First Click,0,Affiliate
O00020196,M0724,Last Click,11,Email
O00020198,M0110,First Click,8,Email
O00020200,M0057,First Click,13,Search
O00020201,M0152,Time Decay,16,Email
O00020202,M0365,Time Decay,14,Affiliate
O00020203,M0208,First Click,9,Email
O00020204,M0615,Linear,28,Search
O00020205,M0305,Last Click,22,Social
O00020206,M0493,Time Decay,4,Search
O00020207,M0969,Time Decay,23,Search
O00020208,M0703,Last Click,19,Affiliate
O00020209,M0141,Time Decay,9,Social
O00020210,M0813,First Click,4,Email
O00020211,M0352,First Click,23,Search
O00020212,M0382,Time Decay,0,Social
O00020213,M0051,First Click,18,Search
O00020215,M0677,First Click,17,Social
O00020216,M0803,Last Click,17,Email
O00020217,M0976,Linear,16,Social
O00020219,M0310,Time Decay,15,Search
O00020221,M0101,First Click,10,Search
O00020222,M0924,First Click,21,Email
O00020226,M0137,Time Decay,7,Email
O00020227,M0227,Linear,25,Email
O00020228,M0135,Time Decay,27,Search
O00020230,M0114,Time Decay,13,Affiliate
O00020231,M0940,First Click,27,Affiliate
O00020233,M0044,Time Decay,16,Email
O00020236,M0830,First Click,2,Affiliate
O00020237,M0218,Last Click,14,Affiliate
O00020238,M0550,Linear,22,Email
O00020239,M0863,Linear,10,Affiliate
O00020240,M0574,Time Decay,0,Search
O00020241,M0837,Linear,0,Email
O00020242,M0453,Linear,25,Search
O00020244,M0515,Linear,22,Affiliate
O00020245,M0348,Last Click,15,Affiliate
O00020246,M0171,Linear,17,Search
O00020247,M0831,Linear,3,Social
O00020248,M0398,First Click,3,Social
O00020249,M0597,Time Decay,1,Affiliate
O00020250,M0680,First Click,6,Email
O00020251,M0365,Linear,17,Affiliate
O00020252,M0369,First Click,29,Social
O00020253,M0266,First Click,9,Social
O00020256,M0985,Last Click,12,Search
O00020258,M0382,Linear,25,Social
O00020259,M0474,Last Click,15,Search
O00020260,M0573,Linear,9,Email
O00020261,M0138,Linear,3,Social
O00020262,M0609,Last Click,1,Email
O00020263,M0474,Linear,21,Search
O00020266,M0417,Last Click,20,Affiliate
O00020267,M0431,First Click,30,Search
O00020269,M0507,Linear,17,Social
O00020271,M0416,Last Click,4,Social
O00020272,M0930,Last Click,4,Social
O00020275,M0964,Linear,12,Affiliate
O00020276,M0028,Linear,6,Search
O00020278,M0909,Last Click,21,Affiliate
O00020279,M0936,Linear,15,Affiliate
O00020280,M0222,Linear,0,Affiliate
O00020282,M0025,First Click,0,Email
O00020286,M0204,First Click,5,Search
O00020287,M0900,Last Click,27,Search
O00020288,M0994,Last Click,19,Email
O00020289,M0425,Time Decay,10,Affiliate
O00020290,M0256,Linear,1,Affiliate
O00020291,M0862,First Click,14,Email
O00020292,M0290,Linear,4,Affiliate
O00020294,M0398,Time Decay,30,Social
O00020295,M0345,Last Click,29,Social
O00020296,M0623,Time Decay,10,Search
O00020297,M0755,Time Decay,1,Social
O00020299,M0967,Linear,18,Search
O00020300,M0181,Last Click,27,Search
O00020301,M0848,Last Click,0,Email
O00020302,M0208,Last Click,0,Email
O00020303,M0576,First Click,14,Affiliate
O00020304,M0086,Time Decay,27,Affiliate
O00020305,M0550,Time Decay,20,Email
O00020306,M0601,First Click,1,Affiliate
O00020309,M0388,Last Click,1,Search
O00020311,M0500,Time Decay,18,Email
O00020314,M0280,Time Decay,12,Email
O00020316,M0127,Last Click,11,Social
O00020317,M0474,Linear,27,Search
O00020319,M0706,Last Click,14,Social
O00020320,M0947,First Click,14,Email
O00020322,M0689,First Click,26,Search
O00020324,M0551,First Click,21,Search
O00020325,M0534,First Click,10,Affiliate
O00020326,M0434,First Click,9,Social
O00020327,M0585,Time Decay,6,Affiliate
O00020328,M0172,Time Decay,20,Social
O00020329,M0846,Linear,11,Affiliate
O00020330,M0375,Last Click,19,Search
O00020331,M0242,First Click,30,Affiliate
O00020332,M0916,Linear,27,Email
O00020333,M0578,Linear,14,Affiliate
O00020335,M0555,First Click,8,Email
O00020336,M0924,First Click,20,Email
O00020337,M0464,Last Click,28,Affiliate
O00020338,M0455,Last Click,11,Social
O00020339,M0660,Time Decay,11,Social
O00020340,M0527,First Click,18,Search
O00020341,M0075,Linear,23,Search
O00020342,M0519,Last Click,25,Social
O00020346,M0711,Time Decay,14,Social
O00020347,M0449,First Click,20,Search
O00020348,M0736,Time Decay,19,Affiliate
O00020350,M0787,Last Click,8,Search
O00020351,M0936,Linear,29,Affiliate
O00020352,M0707,Last Click,17,Email
O00020355,M0399,First Click,16,Affiliate
O00020356,M0515,Linear,17,Affiliate
O00020358,M0493,Linear,1,Search
O00020360,M0229,First Click,13,Social
O00020361,M0620,Time Decay,11,Email
O00020365,M0899,First Click,0,Email
O00020367,M0858,Last Click,11,Social
O00020368,M0901,Last Click,2,Social
O00020369,M0811,Time Decay,9,Affiliate
O00020372,M0234,Linear,14,Search
O00020373,M0554,First Click,21,Affiliate
O00020375,M0004,Linear,26,Affiliate
O00020379,M0117,Last Click,22,Social
O00020380,M0227,Linear,13,Email
O00020383,M0480,Linear,22,Email
O00020384,M0056,Last Click,4,Search
O00020386,M0846,First Click,8,Affiliate
O00020387,M0130,Linear,19,Social
O00020388,M0573,Linear,25,Email
O00020389,M0474,Last Click,0,Search
O00020390,M0765,Linear,3,Social
O00020391,M0431,Last Click,12,Search
O00020393,M0781,First Click,9,Social
O00020394,M0788,Time Decay,1,Affiliate
O00020395,M0384,Linear,25,Search
O00020397,M0482,First Click,26,Email
O00020398,M0498,Time Decay,15,Email
O00020399,M0756,Time Decay,7,Search
O00020403,M0044,Linear,14,Email
O00020404,M0517,Last Click,30,Affiliate
O00020405,M0189,Last Click,1,Social
O00020406,M0381,Time Decay,7,Search
O00020407,M0365,Time Decay,9,Affiliate
O00020408,M0159,Last Click,16,Search
O00020409,M0767,Linear,28,Social
O00020411,M0745,First Click,5,Social
O00020412,M0685,Linear,24,Social
O00020414,M0145,Linear,14,Social
O00020415,M0154,Time Decay,17,Email
O00020420,M0052,Time Decay,11,Email
O00020422,M0310,Linear,16,Search
O00020423,M0100,Linear,30,Affiliate
O00020424,M0302,Linear,0,Affiliate
O00020426,M0695,Time Decay,8,Social
O00020428,M0206,First Click,21,Affiliate
O00020429,M0307,Time Decay,3,Social
O00020430,M0021,Last Click,1,Social
O00020431,M0454,Linear,8,Email
O00020432,M0336,Linear,10,Email
O00020434,M0743,Time Decay,19,Social
O00020435,M0096,First Click,18,Affiliate
O00020436,M0171,Linear,9,Search
O00020437,M0867,Linear,26,Affiliate
O00020438,M0316,Linear,11,Social
O00020439,M0015,Time Decay,6,Affiliate
O00020441,M0725,Time Decay,19,Affiliate
O00020443,M0150,Last Click,16,Social
O00020444,M0631,Time Decay,20,Search
O00020445,M0402,Time Decay,27,Social
O00020447,M0699,Linear,10,Affiliate
O00020448,M0423,First Click,5,Social
O00020449,M0276,Last Click,21,Social
O00020450,M0692,First Click,9,Social
O00020451,M0546,Time Decay,27,Email
O00020453,M0340,Last Click,2,Email
O00020454,M0958,Last Click,22,Affiliate
O00020455,M0307,Time Decay,22,Social
O00020457,M0552,First Click,12,Social
O00020458,M0470,Linear,17,Affiliate
O00020459,M0295,Last Click,27,Affiliate
O00020460,M0183,Linear,19,Social
O00020461,M0391,Last Click,8,Affiliate
O00020462,M0927,Time Decay,18,Affiliate
O00020464,M0441,First Click,20,Social
O00020465,M0612,Time Decay,12,Search
O00020466,M0537,First Click,22,Affiliate
O00020467,M0359,Last Click,12,Affiliate
O00020468,M0838,Last Click,22,Social
O00020470,M0830,Time Decay,12,Affiliate
O00020471,M0084,Linear,16,Email
O00020472,M0254,Linear,6,Email
O00020473,M0087,Time Decay,20,Affiliate
O00020474,M0040,Last Click,28,Email
O00020475,M0538,Last Click,20,Social
O00020478,M0731,Last Click,4,Email
O00020480,M0144,Linear,22,Affiliate
O00020482,M0691,First Click,29,Email
O00020483,M0935,Linear,29,Affiliate
O00020484,M0069,Linear,17,Affiliate
O00020487,M0463,Linear,11,Affiliate
O00020488,M0631,Last Click,20,Search
O00020489,M0384,Last Click,7,Search
O00020490,M0684,First Click,14,Search
O00020492,M0952,First Click,11,Search
O00020493,M0535,Linear,3,Affiliate
O00020494,M0132,First Click,24,Social
O00020496,M0500,First Click,6,Email
O00020497,M0045,Linear,22,Search
O00020498,M0164,First Click,9,Search
O00020499,M0978,Time Decay,2,Search
O00020504,M0517,First Click,10,Affiliate
O00020505,M0628,Linear,19,Social
O00020506,M0946,Time Decay,6,Search
O00020507,M0278,Last Click,4,Search
O00020508,M0437,Time Decay,8,Email
O00020509,M0213,Last Click,4,Social
O00020510,M0586,Last Click,1,Search
O00020512,M0411,Time Decay,12,Social
O00020513,M0591,Linear,8,Social
O00020514,M0171,Linear,21,Search
O00020515,M0184,First Click,20,Affiliate
O00020518,M0549,First Click,7,Social
O00020520,M0883,Last Click,22,Social
O00020521,M0859,First Click,18,Social
O00020523,M0408,Time Decay,1,Email
O00020525,M0773,Last Click,11,Email
O00020528,M0873,First Click,30,Social
O00020529,M0574,Last Click,15,Search
O00020530,M0062,First Click,21,Social
O00020531,M0348,Linear,1,Affiliate
O00020532,M0499,Linear,17,Search
O00020533,M0658,Time Decay,1,Email
O00020534,M0818,First Click,26,Social
O00020536,M0625,Linear,20,Social
O00020537,M0871,First Click,8,Social
O00020538,M0837,Linear,29,Email
O00020540,M0290,First Click,1,Affiliate
O00020545,M0972,Last Click,8,Social
O00020546,M0631,First Click,15,Search
O00020547,M0003,First Click,6,Social
O00020548,M0360,Time Decay,1,Social
O00020550,M0776,First Click,7,Social
O00020551,M0050,Linear,12,Social
